This file is a test of different cmultipliers and mmultipliers in the Netflix4
project. The l value is the value of cmultiplier while mmultiplier was (1-l).
These two values were multiplied agaist every value in the customerMeans and
movieMeans arrays respectively and then were added up to find the RMSE

The smallest RMSE was produced by cmultiplier = .8, mmultiplier = .2

l = 0.0     RMSE = 1.1429181504284287
l = 0.01    RMSE = 1.1404146955200694
l = 0.02    RMSE = 1.1379374385575811
l = 0.03    RMSE = 1.1354865510074117
l = 0.04    RMSE = 1.133062203985774
l = 0.05    RMSE = 1.1306645682155305
l = 0.06    RMSE = 1.128293813981768
l = 0.07    RMSE = 1.1259501110865329
l = 0.08    RMSE = 1.1236336288029016
l = 0.09    RMSE = 1.1213445358283796
l = 0.1     RMSE = 1.1190830002383005
l = 0.11    RMSE = 1.1168491894375319
l = 0.12    RMSE = 1.114643270112374
l = 0.13    RMSE = 1.112465408181737
l = 0.14    RMSE = 1.1103157687477165
l = 0.15    RMSE = 1.1081945160454276
l = 0.16    RMSE = 1.1061018133929554
l = 0.17    RMSE = 1.1040378231401524
l = 0.18    RMSE = 1.1020027066171039
l = 0.19    RMSE = 1.0999966240827532
l = 0.2     RMSE = 1.098019734672438
l = 0.21    RMSE = 1.0960721963453959
l = 0.22    RMSE = 1.0941541658319738
l = 0.23    RMSE = 1.0922657985802202
l = 0.24    RMSE = 1.0904072487026812
l = 0.25    RMSE = 1.0885786689225838
l = 0.26    RMSE = 1.086780210519997
l = 0.27    RMSE = 1.0850120232777207
l = 0.28    RMSE = 1.0832742554270511
l = 0.29    RMSE = 1.0815670535937731
l = 0.3     RMSE = 1.0798905627435944
l = 0.31    RMSE = 1.0782449261278948
l = 0.32    RMSE = 1.0766302852293477
l = 0.33    RMSE = 1.07504677970777
l = 0.34    RMSE = 1.0734945473460955
l = 0.35    RMSE = 1.0719737239962048
l = 0.36    RMSE = 1.0704844435251182
l = 0.37    RMSE = 1.0690268377618386
l = 0.38    RMSE = 1.0676010364436037
l = 0.39    RMSE = 1.0662071671633904
l = 0.4     RMSE = 1.0648453553169672
l = 0.41    RMSE = 1.0635157240513102
l = 0.42    RMSE = 1.062218394212502
l = 0.43    RMSE = 1.0609534842946295
l = 0.44    RMSE = 1.0597211103895112
l = 0.45    RMSE = 1.0585213861364047
l = 0.46    RMSE = 1.057354422672786
l = 0.47    RMSE = 1.0562203285858263
l = 0.48    RMSE = 1.05511920986431
l = 0.49    RMSE = 1.0540511698519621
l = 0.5     RMSE = 1.0530163092005835
l = 0.51    RMSE = 1.0520147258252803
l = 0.52    RMSE = 1.0510465148596504
l = 0.53    RMSE = 1.0501117686126102
l = 0.54    RMSE = 1.0492105765257622
l = 0.55    RMSE = 1.0483430251320296
l = 0.56    RMSE = 1.0475091980154227
l = 0.57    RMSE = 1.0467091757721554
l = 0.58    RMSE = 1.0459430359723187
l = 0.59    RMSE = 1.0452108531234166
l = 0.6     RMSE = 1.044512698634911
l = 0.61    RMSE = 1.0438486407841499
l = 0.62    RMSE = 1.0432187446834016
l = 0.63    RMSE = 1.0426230722487486
l = 0.64    RMSE = 1.042061682169796
l = 0.65    RMSE = 1.0415346298815849
l = 0.66    RMSE = 1.0410419675368485
l = 0.67    RMSE = 1.0405837439813428
l = 0.68    RMSE = 1.0401600047290973
l = 0.69    RMSE = 1.0397707919404997
l = 0.7     RMSE = 1.039416144401113
l = 0.71    RMSE = 1.0390960975027668
l = 0.72    RMSE = 1.0388106832257122
l = 0.73    RMSE = 1.03855993012294
l = 0.74    RMSE = 1.0383438633057838
l = 0.75    RMSE = 1.0381625044312763
l = 0.76    RMSE = 1.0380158716918202
l = 0.77    RMSE = 1.0379039798052943
l = 0.78    RMSE = 1.0378268400085133
l = 0.79    RMSE = 1.0377844600508455
l = 0.8     RMSE = 1.0377768441907902                                           <-- smallest value
l = 0.81    RMSE = 1.03780399319375
l = 0.82    RMSE = 1.0378659043314882
l = 0.83    RMSE = 1.0379625713836582
l = 0.84    RMSE = 1.038093984640887
l = 0.85    RMSE = 1.0382601309096302
l = 0.86    RMSE = 1.0384609935187565
l = 0.87    RMSE = 1.0386965523280027
l = 0.88    RMSE = 1.0389667837379886
l = 0.89    RMSE = 1.0392716607020434
l = 0.9     RMSE = 1.0396111527395206
l = 0.91    RMSE = 1.0399852259514357
l = 0.92    RMSE = 1.0403938430366697
l = 0.93    RMSE = 1.0408369633111414
l = 0.94    RMSE = 1.0413145427273045
l = 0.95    RMSE = 1.0418265338964683
l = 0.96    RMSE = 1.0423728861116464
l = 0.97    RMSE = 1.0429535453726562
l = 0.98    RMSE = 1.043568454412394
l = 0.99    RMSE = 1.0442175527248396

